split_name,model_name,n_train,n_test,roc_auc,average_precision,balanced_accuracy
random,logreg,4457,1115,0.7833321214765263,0.8836776575817034,0.7022488022815224
random,rf,4457,1115,0.8741062556048378,0.9437151554156064,0.7953355631498582
random,gbdt,4457,1115,0.8431271560952358,0.9289586985541739,0.7625366586684117
scaffold,logreg,4457,1115,0.7290356164383561,0.8323441923060412,0.6724840182648402
scaffold,rf,4457,1115,0.8426831050228312,0.9173818716278765,0.7465753424657535
scaffold,gbdt,4457,1115,0.8191616438356164,0.9009587429413692,0.7287853881278539
time,logreg,4458,1114,0.4367713403115763,0.7415886426011951,0.4492566171078072
time,rf,4458,1114,0.545763050870058,0.7887050620668679,0.5373447118696802
time,gbdt,4458,1114,0.543042869524635,0.7879759549056431,0.5122941529435295
random,gnn,4457,1115,0.8282213173691396,0.9186889211397996,0.7604704428124773
scaffold,gnn,4457,1115,0.7860748858447488,0.8723628483358059,0.7071963470319634
time,gnn,4458,1114,0.4847955416980253,0.764480106289822,0.4910807081675805
random,chemberta,4457,1115,0.819372742916697,0.9102000768631496,0.7439104195448265
scaffold,chemberta,4457,1115,0.7949735159817352,0.8830145750093179,0.7002191780821918
time,chemberta,4458,1114,0.6042450632548471,0.8263318324497094,0.5514684800917464
